Package,Version
abind,1.4-5
acepack,1.4.1
arm,1.10-1
assertthat,0.2.0
backports,1.1.2
base64enc,0.1-3
BDgraph,2.50
BH,1.66.0-1
bindr,0.1.1
bindrcpp,0.2.2
bitops,1.0-6
blogdown,0.6
bookdown,0.7
broom,0.4.4
callr,2.0.4
car,3.0-0
carData,3.0-1
caTools,1.17.1
cellranger,1.1.0
checkmate,1.8.5
cli,1.0.0
coda,0.19-1
colorspace,1.3-2
corpcor,1.6.9
crayon,1.3.4
crosstalk,1.0.0
d3Network,0.5.2.1
data.table,1.11.4
DBI,1.0.0
dbplyr,1.2.1
devtools,1.13.5
dichromat,2.0-0
digest,0.6.15
dplyr,0.7.5
dtplyr,0.0.2
dygraphs,1.1.1.4
dynlm,0.3-5
ellipse,0.4.1
evaluate,0.10.1
fdrtool,1.2.15
forcats,0.3.0
formattable,0.2.0.1
Formula,1.2-3
gapminder,0.3.0
gdata,2.18.0
ggm,2.3
ggplot2,2.2.1
ggthemes,3.5.0
git2r,0.21.0
glasso,1.8
glue,1.2.0
gplots,3.0.1
gridExtra,2.3
gtable,0.2.0
gtools,3.5.0
haven,1.1.1
hexbin,1.27.2
highr,0.6
Hmisc,4.1-1
hms,0.4.2
htmlTable,1.12
htmltools,0.3.6
htmlwidgets,1.2
httpuv,1.4.3
httr,1.3.1
huge,1.2.7
igraph,1.2.1
jpeg,0.1-8
kableExtra,0.9.0
knitr,1.20
labeling,0.3
later,0.7.2
latticeExtra,0.6-28
lavaan,0.6-1
lazyeval,0.2.1
lme4,1.1-17
lmtest,0.9-36
lubridate,1.7.4
magrittr,1.5
manipulateWidget,0.9.0
maps,3.3.0
maptools,0.9-2
markdown,0.8
matrixcalc,1.0-3
MatrixModels,0.4-1
memoise,1.1.0
mi,1.0
mime,0.5
miniUI,0.1.1.1
minqa,1.2.4
mnormt,1.5-5
modelr,0.1.2
munsell,0.4.3
network,1.13.0.1
nloptr,1.0.4
numDeriv,2016.8-1
nycflights13,0.2.2
openssl,1.0.1
openxlsx,4.1.0
pbapply,1.3-4
pbivnorm,0.6.0
pbkrtest,0.4-7
PerformanceAnalytics,1.5.2
pillar,1.2.3
pkgconfig,2.0.1
plogr,0.2.0
plotly,4.7.1
plyr,1.8.4
PortfolioAnalytics,1.1.0
praise,1.0.0
processx,3.1.0
promises,1.0.1
psych,1.8.4
purrr,0.2.4
qgraph,1.5
quadprog,1.5-5
quantreg,5.36
Rblpapi,0.3.8
RColorBrewer,1.1-2
Rcpp,0.12.17
RcppEigen,0.3.3.4.0
RcppRoll,0.2.2
readr,1.1.1
readxl,1.1.0
rematch,1.0.1
reprex,0.1.2
reshape2,1.4.3
rgl,0.99.16
rio,0.5.10
rjson,0.2.19
rlang,0.2.0
rmarkdown,1.9
rmsfuns,0.0.0.2
RMySQL,0.10.15
rprojroot,1.3-2
rstudioapi,0.7
rvest,0.3.2
scales,0.5.0
selectr,0.4-1
sem,3.1-9
servr,0.10
shiny,1.1.0
sna,2.4
sourcetools,0.1.7
sp,1.2-7
SparseM,1.77
statnet.common,4.0.0
stringi,1.1.7
stringr,1.3.1
testthat,2.0.0
tibble,1.4.2
tidyr,0.8.1
tidyselect,0.2.4
tidyverse,1.2.1
tinytex,0.5
tubeplayR,0.1.2
utf8,1.1.4
viridis,0.5.1
viridisLite,0.3.0
whisker,0.3-2
withr,2.1.2
xfun,0.1
xml2,1.2.0
xtable,1.8-2
xts,0.10-2
yaml,2.1.19
zip,1.0.0
zoo,1.8-1
checkpoint,0.4.4
curl,3.2
deployrRserve,9.0.0
doParallel,1.0.13
foreach,1.5.0
iterators,1.0.10
jsonlite,1.5
MicrosoftR,3.5.0.108
png,0.1-7
R6,2.2.2
RevoIOQ,10.0.0
RevoMods,11.0.0
RevoUtils,11.0.0
RevoUtilsMath,11.0.0
RODBC,1.3-15
RUnit,0.4.26
translations,3.5.0
